match_no,stage,source_type,group_label,matchday,home_team_id,away_team_id,home_team_fifa_code,away_team_fifa_code,home_team_name,away_team_name,home_seed,away_seed,kickoff_local,kickoff_timezone,kickoff_utc,stadium_id,venue,fifa_venue_name,city,country,status,home_score,away_score,winner_team_id,source_match_oid
1,groups,group,A,1,mex,rsa,MEX,RSA,Mexico,South Africa,,,06/11/2026 13:00,America/Mexico_City,2026-06-11T19:00:00.000Z,1,Estadio Azteca,Mexico City Stadium,Mexico City,Mexico,open,,,,679c9c8a5749c4077500e001
2,groups,group,A,1,kor,cze,KOR,CZE,South Korea,Czech Republic,,,06/11/2026 20:00,America/Mexico_City,2026-06-12T02:00:00.000Z,2,Estadio Akron,Estadio Guadalajara,Guadalajara (Zapopan),Mexico,open,,,,679c9c8a5749c4077500e002
3,groups,group,B,1,can,bih,CAN,BIH,Canada,Bosnia and Herzegovina,,,06/12/2026 15:00,America/Toronto,2026-06-12T19:00:00.000Z,12,BMO Field,Toronto Stadium,Toronto,Canada,open,,,,679c9c8a5749c4077500e003
4,groups,group,D,1,usa,par,USA,PAR,United States,Paraguay,,,06/12/2026 18:00,America/Los_Angeles,2026-06-13T01:00:00.000Z,16,SoFi Stadium,Los Angeles Stadium,Los Angeles (Inglewood),United States,open,,,,679c9c8a5749c4077500e004
5,groups,group,C,1,hai,sco,HAI,SCO,Haiti,Scotland,,,06/13/2026 21:00,America/New_York,2026-06-14T01:00:00.000Z,9,Gillette Stadium,Boston Stadium,Boston (Foxborough),United States,open,,,,679c9c8a5749c4077500e005
6,groups,group,D,1,aus,tur,AUS,TUR,Australia,Turkey,,,06/13/2026 21:00,America/Vancouver,2026-06-14T04:00:00.000Z,13,BC Place,BC Place Vancouver,Vancouver,Canada,open,,,,679c9c8a5749c4077500e006
7,groups,group,C,1,bra,mar,BRA,MAR,Brazil,Morocco,,,06/13/2026 18:00,America/New_York,2026-06-13T22:00:00.000Z,11,MetLife Stadium,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),United States,open,,,,679c9c8a5749c4077500e007
8,groups,group,B,1,qat,sui,QAT,SUI,Qatar,Switzerland,,,06/13/2026 12:00,America/Los_Angeles,2026-06-13T19:00:00.000Z,15,Levi's Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),United States,open,,,,679c9c8a5749c4077500e008
9,groups,group,E,1,civ,ecu,CIV,ECU,Ivory Coast,Ecuador,,,06/14/2026 19:00,America/New_York,2026-06-14T23:00:00.000Z,10,Lincoln Financial Field,Philadelphia Stadium,Philadelphia,United States,open,,,,679c9c8a5749c4077500e009
10,groups,group,E,1,ger,cuw,GER,CUW,Germany,Curaçao,,,06/14/2026 12:00,America/Chicago,2026-06-14T17:00:00.000Z,5,NRG Stadium,Houston Stadium,Houston,United States,open,,,,679c9c8a5749c4077500e010
11,groups,group,F,1,ned,jpn,NED,JPN,Netherlands,Japan,,,06/14/2026 15:00,America/Chicago,2026-06-14T20:00:00.000Z,4,AT&T Stadium,Dallas Stadium,"Dallas (Arlington, Texas)",United States,open,,,,679c9c8a5749c4077500e011
12,groups,group,F,1,swe,tun,SWE,TUN,Sweden,Tunisia,,,06/14/2026 20:00,America/Monterrey,2026-06-15T02:00:00.000Z,3,Estadio BBVA,Estadio Monterrey,Monterrey (Guadalupe),Mexico,open,,,,679c9c8a5749c4077500e012
13,groups,group,G,1,irn,nzl,IRN,NZL,Iran,New Zealand,,,06/15/2026 18:00,America/Los_Angeles,2026-06-16T01:00:00.000Z,16,SoFi Stadium,Los Angeles Stadium,Los Angeles (Inglewood),United States,open,,,,679c9c8a5749c4077500e013
14,groups,group,H,1,esp,cpv,ESP,CPV,Spain,Cape Verde,,,06/15/2026 12:00,America/New_York,2026-06-15T16:00:00.000Z,7,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,United States,open,,,,679c9c8a5749c4077500e014
15,groups,group,G,1,bel,egy,BEL,EGY,Belgium,Egypt,,,06/15/2026 12:00,America/Los_Angeles,2026-06-15T19:00:00.000Z,14,Lumen Field,Seattle Stadium,Seattle,United States,open,,,,679c9c8a5749c4077500e015
16,groups,group,H,1,ksa,uru,KSA,URU,Saudi Arabia,Uruguay,,,06/15/2026 18:00,America/New_York,2026-06-15T22:00:00.000Z,8,Hard Rock Stadium,Miami Stadium,Miami (Miami Gardens),United States,open,,,,679c9c8a5749c4077500e016
17,groups,group,I,1,fra,sen,FRA,SEN,France,Senegal,,,06/16/2026 15:00,America/New_York,2026-06-16T19:00:00.000Z,11,MetLife Stadium,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),United States,open,,,,679c9c8a5749c4077500e017
18,groups,group,I,1,irq,nor,IRQ,NOR,Iraq,Norway,,,06/16/2026 18:00,America/New_York,2026-06-16T22:00:00.000Z,9,Gillette Stadium,Boston Stadium,Boston (Foxborough),United States,open,,,,679c9c8a5749c4077500e018
19,groups,group,J,1,arg,alg,ARG,ALG,Argentina,Algeria,,,06/16/2026 20:00,America/Chicago,2026-06-17T01:00:00.000Z,6,GEHA Field at Arrowhead Stadium,Kansas City Stadium,Kansas City,United States,open,,,,679c9c8a5749c4077500e019
20,groups,group,J,1,aut,jor,AUT,JOR,Austria,Jordan,,,06/16/2026 21:00,America/Los_Angeles,2026-06-17T04:00:00.000Z,15,Levi's Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),United States,open,,,,679c9c8a5749c4077500e020
21,groups,group,K,1,por,cod,POR,COD,Portugal,Democratic Republic of the Congo,,,06/17/2026 12:00,America/Chicago,2026-06-17T17:00:00.000Z,5,NRG Stadium,Houston Stadium,Houston,United States,open,,,,679c9c8a5749c4077500e021
22,groups,group,L,1,eng,cro,ENG,CRO,England,Croatia,,,06/17/2026 15:00,America/Chicago,2026-06-17T20:00:00.000Z,4,AT&T Stadium,Dallas Stadium,"Dallas (Arlington, Texas)",United States,open,,,,679c9c8a5749c4077500e022
23,groups,group,K,1,uzb,col,UZB,COL,Uzbekistan,Colombia,,,06/17/2026 20:00,America/Mexico_City,2026-06-18T02:00:00.000Z,1,Estadio Azteca,Mexico City Stadium,Mexico City,Mexico,open,,,,679c9c8a5749c4077500e023
24,groups,group,L,1,gha,pan,GHA,PAN,Ghana,Panama,,,06/17/2026 19:00,America/Toronto,2026-06-17T23:00:00.000Z,12,BMO Field,Toronto Stadium,Toronto,Canada,open,,,,679c9c8a5749c4077500e024
25,groups,group,A,2,mex,kor,MEX,KOR,Mexico,South Korea,,,06/18/2026 19:00,America/Mexico_City,2026-06-19T01:00:00.000Z,2,Estadio Akron,Estadio Guadalajara,Guadalajara (Zapopan),Mexico,open,,,,679c9c8a5749c4077500e025
26,groups,group,B,2,sui,bih,SUI,BIH,Switzerland,Bosnia and Herzegovina,,,06/18/2026 12:00,America/Los_Angeles,2026-06-18T19:00:00.000Z,16,SoFi Stadium,Los Angeles Stadium,Los Angeles (Inglewood),United States,open,,,,679c9c8a5749c4077500e026
27,groups,group,B,2,can,qat,CAN,QAT,Canada,Qatar,,,06/18/2026 15:00,America/Vancouver,2026-06-18T22:00:00.000Z,13,BC Place,BC Place Vancouver,Vancouver,Canada,open,,,,679c9c8a5749c4077500e027
28,groups,group,A,2,cze,rsa,CZE,RSA,Czech Republic,South Africa,,,06/18/2026 12:00,America/New_York,2026-06-18T16:00:00.000Z,7,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,United States,open,,,,679c9c8a5749c4077500e028
29,groups,group,C,2,bra,hai,BRA,HAI,Brazil,Haiti,,,06/19/2026 21:00,America/New_York,2026-06-20T01:00:00.000Z,10,Lincoln Financial Field,Philadelphia Stadium,Philadelphia,United States,open,,,,679c9c8a5749c4077500e029
30,groups,group,C,2,sco,mar,SCO,MAR,Scotland,Morocco,,,06/19/2026 18:00,America/New_York,2026-06-19T22:00:00.000Z,9,Gillette Stadium,Boston Stadium,Boston (Foxborough),United States,open,,,,679c9c8a5749c4077500e030
31,groups,group,D,2,usa,aus,USA,AUS,United States,Australia,,,06/19/2026 12:00,America/Los_Angeles,2026-06-19T19:00:00.000Z,14,Lumen Field,Seattle Stadium,Seattle,United States,open,,,,679c9c8a5749c4077500e031
32,groups,group,D,2,tur,par,TUR,PAR,Turkey,Paraguay,,,06/19/2026 20:00,America/Los_Angeles,2026-06-20T03:00:00.000Z,15,Levi's Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),United States,open,,,,679c9c8a5749c4077500e032
33,groups,group,E,2,ger,civ,GER,CIV,Germany,Ivory Coast,,,06/20/2026 16:00,America/Toronto,2026-06-20T20:00:00.000Z,12,BMO Field,Toronto Stadium,Toronto,Canada,open,,,,679c9c8a5749c4077500e033
34,groups,group,E,2,ecu,cuw,ECU,CUW,Ecuador,Curaçao,,,06/20/2026 19:00,America/Chicago,2026-06-21T00:00:00.000Z,6,GEHA Field at Arrowhead Stadium,Kansas City Stadium,Kansas City,United States,open,,,,679c9c8a5749c4077500e034
35,groups,group,F,2,ned,swe,NED,SWE,Netherlands,Sweden,,,06/20/2026 12:00,America/Chicago,2026-06-20T17:00:00.000Z,5,NRG Stadium,Houston Stadium,Houston,United States,open,,,,679c9c8a5749c4077500e035
36,groups,group,F,2,tun,jpn,TUN,JPN,Tunisia,Japan,,,06/20/2026 22:00,America/Monterrey,2026-06-21T04:00:00.000Z,3,Estadio BBVA,Estadio Monterrey,Monterrey (Guadalupe),Mexico,open,,,,679c9c8a5749c4077500e036
37,groups,group,G,2,bel,irn,BEL,IRN,Belgium,Iran,,,06/21/2026 12:00,America/Los_Angeles,2026-06-21T19:00:00.000Z,16,SoFi Stadium,Los Angeles Stadium,Los Angeles (Inglewood),United States,open,,,,679c9c8a5749c4077500e037
38,groups,group,G,2,nzl,egy,NZL,EGY,New Zealand,Egypt,,,06/21/2026 18:00,America/Vancouver,2026-06-22T01:00:00.000Z,13,BC Place,BC Place Vancouver,Vancouver,Canada,open,,,,679c9c8a5749c4077500e038
39,groups,group,H,2,esp,ksa,ESP,KSA,Spain,Saudi Arabia,,,06/21/2026 12:00,America/New_York,2026-06-21T16:00:00.000Z,7,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,United States,open,,,,679c9c8a5749c4077500e039
40,groups,group,H,2,uru,cpv,URU,CPV,Uruguay,Cape Verde,,,06/21/2026 18:00,America/New_York,2026-06-21T22:00:00.000Z,8,Hard Rock Stadium,Miami Stadium,Miami (Miami Gardens),United States,open,,,,679c9c8a5749c4077500e040
41,groups,group,I,2,fra,irq,FRA,IRQ,France,Iraq,,,06/22/2026 17:00,America/New_York,2026-06-22T21:00:00.000Z,10,Lincoln Financial Field,Philadelphia Stadium,Philadelphia,United States,open,,,,679c9c8a5749c4077500e041
42,groups,group,I,2,nor,sen,NOR,SEN,Norway,Senegal,,,06/22/2026 20:00,America/New_York,2026-06-23T00:00:00.000Z,11,MetLife Stadium,New York/New Jersey Stadium,New York/New Jersey (East Rutherford),United States,open,,,,679c9c8a5749c4077500e042
43,groups,group,J,2,arg,aut,ARG,AUT,Argentina,Austria,,,06/22/2026 12:00,America/Chicago,2026-06-22T17:00:00.000Z,4,AT&T Stadium,Dallas Stadium,"Dallas (Arlington, Texas)",United States,open,,,,679c9c8a5749c4077500e043
44,groups,group,J,2,jor,alg,JOR,ALG,Jordan,Algeria,,,06/22/2026 20:00,America/Los_Angeles,2026-06-23T03:00:00.000Z,15,Levi's Stadium,San Francisco Bay Area Stadium,San Francisco Bay Area (Santa Clara),United States,open,,,,679c9c8a5749c4077500e044
45,groups,group,K,2,por,uzb,POR,UZB,Portugal,Uzbekistan,,,06/23/2026 12:00,America/Chicago,2026-06-23T17:00:00.000Z,5,NRG Stadium,Houston Stadium,Houston,United States,open,,,,679c9c8a5749c4077500e045
46,groups,group,L,2,pan,cro,PAN,CRO,Panama,Croatia,,,06/23/2026 19:00,America/Toronto,2026-06-23T23:00:00.000Z,12,BMO Field,Toronto Stadium,Toronto,Canada,open,,,,679c9c8a5749c4077500e046
47,groups,group,K,2,col,cod,COL,COD,Colombia,Democratic Republic of the Congo,,,06/23/2026 20:00,America/Mexico_City,2026-06-24T02:00:00.000Z,2,Estadio Akron,Estadio Guadalajara,Guadalajara (Zapopan),Mexico,open,,,,679c9c8a5749c4077500e047
48,groups,group,L,2,eng,gha,ENG,GHA,England,Ghana,,,06/23/2026 16:00,America/New_York,2026-06-23T20:00:00.000Z,9,Gillette Stadium,Boston Stadium,Boston (Foxborough),United States,open,,,,679c9c8a5749c4077500e048
49,groups,group,C,3,sco,bra,SCO,BRA,Scotland,Brazil,,,06/24/2026 18:00,America/New_York,2026-06-24T22:00:00.000Z,8,Hard Rock Stadium,Miami Stadium,Miami (Miami Gardens),United States,open,,,,679c9c8a5749c4077500e049
50,groups,group,C,3,mar,hai,MAR,HAI,Morocco,Haiti,,,06/24/2026 18:00,America/New_York,2026-06-24T22:00:00.000Z,7,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,United States,open,,,,679c9c8a5749c4077500e050
51,groups,group,A,3,rsa,kor,RSA,KOR,South Africa,South Korea,,,06/24/2026 19:00,America/Monterrey,2026-06-25T01:00:00.000Z,3,Estadio BBVA,Estadio Monterrey,Monterrey (Guadalupe),Mexico,open,,,,679c9c8a5749c4077500e051
52,groups,group,A,3,cze,mex,CZE,MEX,Czech Republic,Mexico,,,06/24/2026 19:00,America/Mexico_City,2026-06-25T01:00:00.000Z,1,Estadio Azteca,Mexico City Stadium,Mexico City,Mexico,open,,,,679c9c8a5749c4077500e052
53,groups,group,B,3,bih,qat,BIH,QAT,Bosnia and Herzegovina,Qatar,,,06/24/2026 12:00,America/Los_Angeles,2026-06-24T19:00:00.000Z,14,Lumen Field,Seattle Stadium,Seattle,United States,open,,,,679c9c8a5749c4077500e053
